GISJOIN,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,Shape_Area,ZIP,YEAR,POP,POPDENS,P0_44,PER0_44,P45_64,PER45_64,P65_,PER65,PERW,WNH,PERHIS,HISPNH,PERBLK,BLKNH,PERASN,PERAUTO,PERTRAN,PERPEDB,PERTELE,PERBACH,MEDINC,PERNCITZ,PERASSIS,PEROFFTC,PERHSRV,PERPSRV,PERFOOD,PERCLEAN,PERTROCC,PERHU1,PERHU2_9,PERHU10p,PERMOBH,PERNOINS,PERNOBB,NYDUM,CASE4_11,CASE4_16,TEST4_16,CASE_5_1,TEST_5_1
G60632,60632,60632,B5,G6350,S,19250522,123030,41.8101664,-87.7132518,22382.63963,19373567.32,60632,2014-2018,91039,0.00472917,63961,0.702567032,18376,0.20184756,8702,0.095585408,0.08783049,0,0.839574248,1,0.011039225,0,0.056492273,0.730278684,0.208628324,0.041258982,0.013258028,0.102686929,42758,0.25491273,0.25455494,0.304410739,0.027854577,0.01713134,0.102012868,0.078473424,0.051600734,0.413340089,0.569830987,0.014621259,0.002207665,0.180298974,0.294847098,0,151,382,1070,1115,2434
G60633,60633,60633,B5,G6350,S,26638667,5008815,41.6637834,-87.5613138,31413.83776,31647473.57,60633,2014-2018,12871,0.00048317,7491,0.58200606,3704,0.287778727,1676,0.130215212,0.314505477,0,0.449848497,0,0.2320721,0,0,0.839422897,0.099119355,0.031290987,0.020423459,0.149257169,47083,0.06479683,0.191584793,0.430845225,0.019392609,0.060556165,0.06805708,0.036040981,0.055433589,0.685890258,0.230869728,0.033407988,0.049832027,0.122695486,0.275523281,0,26,45,175,158,972
G60634,60634,60634,B5,G6350,S,18422451,24085,41.9461885,-87.8061174,25706.3245,18446530.15,60634,2014-2018,75995,0.00412513,44068,0.579880255,20510,0.269886177,11417,0.150233568,0.540298704,1,0.382459372,0,0.017593263,0,0.05318771,0.834354708,0.104675724,0.023808903,0.021827001,0.250509698,66741,0.152812685,0.095190688,0.435010185,0.038702524,0.038289972,0.050692314,0.069076657,0.047005131,0.642377078,0.275981606,0.075521755,0.005871949,0.113766996,0.254135396,0,187,342,1764,634,3030
G60636,60636,60636,B5,G6350,S,10132439,0,41.7757391,-87.669064,14909.53507,10132443.39,60636,2014-2018,32203,0.003178208,18108,0.56230786,7901,0.245349812,6194,0.192342328,0.010495917,0,0.076763034,0,0.89839456,1,0.000403689,0.642366037,0.278293135,0.02870239,0.037105751,0.093039252,27310,0.027699283,0.443590671,0.347242921,0.093889717,0.042899723,0.073238237,0.067383436,0.070044709,0.522318092,0.437393845,0.03838576,0.001902303,0.105794625,0.492225637,0,156,224,587,372,1002
G60637,60637,60637,B5,G6350,S,11729658,1853047,41.7816213,-87.5998763,18401.79508,11977232.73,60637,2014-2018,47454,0.004045642,31750,0.669068993,10241,0.215808994,5463,0.115122013,0.144518903,0,0.028258946,0,0.757596831,1,0.0448645,0.416594748,0.337689557,0.173098262,0.057761065,0.334896038,28785,0.042251444,0.388779118,0.473026081,0.059842801,0.046564249,0.048767417,0.047993331,0.040431106,0.140849099,0.552159523,0.305602092,0.001389286,0.071315104,0.337978369,0,163,229,1056,330,1877
G60638,60638,60638,B5,G6350,S,28764922,0,41.7814302,-87.7705205,24817.02696,28764929.77,60638,2014-2018,58797,0.002044052,35382,0.601765396,15176,0.258108407,8239,0.140126197,0.435600456,0,0.517713489,1,0.029491301,0,0.005391432,0.831465661,0.126631902,0.023595547,0.013609971,0.196337488,67984,0.083864823,0.120897074,0.399754752,0.0244527,0.070003967,0.049698849,0.057453024,0.054964475,0.768938327,0.198113208,0.02942833,0.003050784,0.086705104,0.271647111,0,123,217,984,518,1980
G60639,60639,60639,B5,G6350,S,12632837,0,41.9205526,-87.7560542,20350.40238,12632823.52,60639,2014-2018,90517,0.007165216,61295,0.677165615,21085,0.232939669,8137,0.089894716,0.067434846,0,0.77927903,1,0.129113868,0,0.015212612,0.732010168,0.180191631,0.042848064,0.020287446,0.125323389,44150,0.220334302,0.262104028,0.332179265,0.03522312,0.024523947,0.081866705,0.076673399,0.043421812,0.326466371,0.623657794,0.048721626,0.001154209,0.185561071,0.333789597,0,204,485,1324,1274,3062
G60640,60640,60640,B5,G6350,S,6247489,642403,41.9728721,-87.6626039,11957.6724,6247482.055,60640,2014-2018,69715,0.011158883,43449,0.623237467,17279,0.247851969,8987,0.128910564,0.553023022,1,0.142566162,0,0.16587535,0,0.108699706,0.393920854,0.450625291,0.072220455,0.066567142,0.558869502,53831,0.114423008,0.174068461,0.553671633,0.02621904,0.008973491,0.070965557,0.028613584,0.037780573,0.072758259,0.343943367,0.581961196,0.001337179,0.096157508,0.229832137,0,134,260,899,453,1716
G60641,60641,60641,B5,G6350,S,10468072,0,41.9466057,-87.7467867,16942.05816,10468067.57,60641,2014-2018,71023,0.006784726,44539,0.627106712,18579,0.261591315,7905,0.111301973,0.366191234,0,0.539965927,1,0.019050167,0,0.045267026,0.703483341,0.209946993,0.028504976,0.041594548,0.296218871,60073,0.173479014,0.128607758,0.436694021,0.029574763,0.02142172,0.077267398,0.059149526,0.054353618,0.369237524,0.496707156,0.132299137,0.001097615,0.157201844,0.232349736,0,118,254,993,548,1959
G60642,60642,60642,B5,G6350,S,4281345,207462,41.9020418,-87.6585438,11660.21101,4488802.842,60642,2014-2018,20201,0.004718377,15675,0.775951686,3204,0.15860601,1322,0.065442305,0.600267313,1,0.201673184,0,0.101232612,0,0.069798525,0.422813214,0.383198282,0.103123485,0.066278828,0.712546645,101939,0.073164695,0.092194753,0.687346605,0.004090537,0.004158713,0.044177802,0.005249523,0.017657486,0.092441917,0.587197334,0.320360749,0,0.06237315,0.132894311,0,31,38,284,73,499
